unit,icha11_hf,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 
EUR_HAB,HF11,MT	1453.51 	1400.64 	1308.19 	1210.52 	1121.90 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF11,NL	287.38 	268.63 	270.05 	261.95 	211.36 	207.05 	207.83 	202.31 	200.83 	202.45 	192.78 	186.48 	168.02 	153.59 	135.86 	136.50 	132.11 	115.41 	103.97 	99.00 	91.65 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF11,NO	5938.51 	5879.24 	5760.82 	5804.73 	5832.66 	5880.00 	5878.21 	5367.89 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF11,PL	82.69 	83.60 	73.28 	66.39 	62.98 	65.97 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF11,PT	1110.23 	1042.19 	1005.93 b	1011.26 	973.01 	973.07 	964.29 	1059.59 	1149.31 	1129.52 	1068.82 	1023.90 	985.81 	1004.66 	948.94 	873.28 	840.16 	770.61 	727.93 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF11,RO	93.63 	76.47 	56.55 	53.99 	50.22 	48.29 	31.25 	30.20 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF11,SE	4289.75 	4363.22 	4300.05 	4219.74 	4163.52 	4216.89 	4084.16 	3844.80 	2741.94 	2448.74 	2606.64 	2588.88 	2463.46 	2345.71 	2318.54 	2286.94 	2154.38 	1973.70 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF11,SI	62.04 	57.54 	66.00 	54.30 	57.70 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF11,SK	25.32 b	25.43 	27.94 	43.30 	38.81 b	68.64 	69.70 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF11,UK	2835.65 	2765.86 	2916.92 	3193.60 	2829.27 	2587.24 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
